date,close
24-Sep-2014,15
25-Sep-2014,5
26-Sep-2014,89
27-Sep-2014,168
28-Sep-2014,21
29-Sep-2014,97
30-Sep-2014,5
01-Oct-2014,28
02-Oct-2014,103
03-Oct-2014,108
04-Oct-2014,117
05-Oct-2014,4
06-Oct-2014,8
07-Oct-2014,4
08-Oct-2014,4
09-Oct-2014,298
10-Oct-2014,4
11-Oct-2014,5
12-Oct-2014,10
13-Oct-2014,47
14-Oct-2014,4
15-Oct-2014,101
16-Oct-2014,4
17-Oct-2014,99
18-Oct-2014,4
19-Oct-2014,10
20-Oct-2014,360
21-Oct-2014,136
22-Oct-2014,758
23-Oct-2014,28
24-Oct-2014,362
25-Oct-2014,40
26-Oct-2014,36
27-Oct-2014,296
28-Oct-2014,362
29-Oct-2014,704
30-Oct-2014,38
31-Oct-2014,270
01-Nov-2014,22
02-Nov-2014,28
03-Nov-2014,674
04-Nov-2014,621
05-Nov-2014,164
06-Nov-2014,136
07-Nov-2014,133
08-Nov-2014,136
09-Nov-2014,124
10-Nov-2014,343
11-Nov-2014,468
12-Nov-2014,899
13-Nov-2014,156
14-Nov-2014,142
15-Nov-2014,151
16-Nov-2014,301
17-Nov-2014,339
18-Nov-2014,321
19-Nov-2014,266
20-Nov-2014,140
21-Nov-2014,336
22-Nov-2014,127
23-Nov-2014,128
24-Nov-2014,136
25-Nov-2014,137
26-Nov-2014,210
27-Nov-2014,138
28-Nov-2014,131
29-Nov-2014,139
30-Nov-2014,134
01-Dec-2014,116
02-Dec-2014,232
03-Dec-2014,245
04-Dec-2014,136
05-Dec-2014,226
06-Dec-2014,134
07-Dec-2014,142
08-Dec-2014,146
09-Dec-2014,231
10-Dec-2014,134
11-Dec-2014,125
12-Dec-2014,194
13-Dec-2014,350
14-Dec-2014,128
15-Dec-2014,579
16-Dec-2014,124
17-Dec-2014,329
18-Dec-2014,113
19-Dec-2014,117
20-Dec-2014,139
21-Dec-2014,114
22-Dec-2014,127
23-Dec-2014,412
24-Dec-2014,124
25-Dec-2014,121
26-Dec-2014,132
27-Dec-2014,164
28-Dec-2014,223
29-Dec-2014,118
30-Dec-2014,256
31-Dec-2014,128
01-Jan-2015,153
02-Jan-2015,261
03-Jan-2015,130
04-Jan-2015,132
05-Jan-2015,432
06-Jan-2015,258
07-Jan-2015,395
08-Jan-2015,270
09-Jan-2015,274
10-Jan-2015,124
11-Jan-2015,124
12-Jan-2015,377
13-Jan-2015,142
14-Jan-2015,465
15-Jan-2015,373
16-Jan-2015,180
17-Jan-2015,130
18-Jan-2015,146
19-Jan-2015,283
20-Jan-2015,131
21-Jan-2015,138
22-Jan-2015,150
23-Jan-2015,244
24-Jan-2015,160
25-Jan-2015,188
26-Jan-2015,161
27-Jan-2015,132
28-Jan-2015,177
29-Jan-2015,369
30-Jan-2015,168
31-Jan-2015,233
01-Feb-2015,145
02-Feb-2015,152
03-Feb-2015,636
04-Feb-2015,414
05-Feb-2015,466
06-Feb-2015,264
07-Feb-2015,149
08-Feb-2015,232
09-Feb-2015,326
10-Feb-2015,335
11-Feb-2015,538
12-Feb-2015,238
13-Feb-2015,149
14-Feb-2015,144
15-Feb-2015,273
16-Feb-2015,195
17-Feb-2015,363
18-Feb-2015,476
19-Feb-2015,272
20-Feb-2015,596
21-Feb-2015,180
22-Feb-2015,144
23-Feb-2015,735
24-Feb-2015,656
25-Feb-2015,778
26-Feb-2015,189
27-Feb-2015,225
28-Feb-2015,156
01-Mar-2015,430
02-Mar-2015,474
03-Mar-2015,499
04-Mar-2015,616
05-Mar-2015,614
06-Mar-2015,732
07-Mar-2015,158
08-Mar-2015,247
09-Mar-2015,509
10-Mar-2015,184
11-Mar-2015,504
12-Mar-2015,586
13-Mar-2015,288
14-Mar-2015,199
15-Mar-2015,262
16-Mar-2015,911
17-Mar-2015,575
18-Mar-2015,323
19-Mar-2015,371
20-Mar-2015,425
21-Mar-2015,180
22-Mar-2015,172
23-Mar-2015,449
24-Mar-2015,696
25-Mar-2015,268
26-Mar-2015,434
27-Mar-2015,550
28-Mar-2015,154
29-Mar-2015,174
30-Mar-2015,385
31-Mar-2015,297
01-Apr-2015,556
02-Apr-2015,502
03-Apr-2015,419
04-Apr-2015,196
05-Apr-2015,277
06-Apr-2015,346
07-Apr-2015,587
08-Apr-2015,490
09-Apr-2015,667
10-Apr-2015,561
11-Apr-2015,274
12-Apr-2015,273
13-Apr-2015,420
14-Apr-2015,681
15-Apr-2015,453
16-Apr-2015,488
17-Apr-2015,940
18-Apr-2015,315
19-Apr-2015,550
20-Apr-2015,1056
21-Apr-2015,1041
22-Apr-2015,1140
23-Apr-2015,739
24-Apr-2015,693
25-Apr-2015,317
26-Apr-2015,574
27-Apr-2015,770
28-Apr-2015,868
29-Apr-2015,1417
30-Apr-2015,540
01-May-2015,400
02-May-2015,329
03-May-2015,332
04-May-2015,572
05-May-2015,767
06-May-2015,348
07-May-2015,1008
08-May-2015,394
09-May-2015,233
10-May-2015,312
11-May-2015,414
12-May-2015,373
13-May-2015,747
14-May-2015,889
15-May-2015,456
16-May-2015,419
17-May-2015,722
18-May-2015,769
19-May-2015,615
20-May-2015,509
21-May-2015,435
22-May-2015,472
23-May-2015,310
24-May-2015,309
25-May-2015,302
26-May-2015,628
27-May-2015,1218
28-May-2015,551
29-May-2015,784
30-May-2015,637
31-May-2015,334
01-Jun-2015,968
02-Jun-2015,478
03-Jun-2015,458
04-Jun-2015,506
05-Jun-2015,460
06-Jun-2015,354
07-Jun-2015,338
08-Jun-2015,635
09-Jun-2015,411
10-Jun-2015,763
11-Jun-2015,351
12-Jun-2015,391
13-Jun-2015,332
14-Jun-2015,328
15-Jun-2015,640
16-Jun-2015,366
17-Jun-2015,346
18-Jun-2015,334
19-Jun-2015,367
20-Jun-2015,337
21-Jun-2015,324
22-Jun-2015,333
23-Jun-2015,850
24-Jun-2015,870
25-Jun-2015,1167
26-Jun-2015,842
27-Jun-2015,535
28-Jun-2015,434
29-Jun-2015,338
30-Jun-2015,533
01-Jul-2015,595
02-Jul-2015,1135
03-Jul-2015,791
04-Jul-2015,506
05-Jul-2015,415
06-Jul-2015,797
07-Jul-2015,852
08-Jul-2015,1176
09-Jul-2015,642
10-Jul-2015,648
11-Jul-2015,406
12-Jul-2015,876
13-Jul-2015,853
14-Jul-2015,560
15-Jul-2015,642
16-Jul-2015,736
17-Jul-2015,713
18-Jul-2015,439
19-Jul-2015,514
20-Jul-2015,537
21-Jul-2015,789
22-Jul-2015,577
23-Jul-2015,419
24-Jul-2015,761
25-Jul-2015,405
26-Jul-2015,390
27-Jul-2015,837
28-Jul-2015,500
29-Jul-2015,744
30-Jul-2015,970
31-Jul-2015,600
01-Aug-2015,360
02-Aug-2015,399
03-Aug-2015,753
04-Aug-2015,885
05-Aug-2015,436
06-Aug-2015,457
07-Aug-2015,676
08-Aug-2015,670
09-Aug-2015,550
10-Aug-2015,854
11-Aug-2015,530
12-Aug-2015,450
13-Aug-2015,890
14-Aug-2015,981
15-Aug-2015,586
16-Aug-2015,445
17-Aug-2015,792
18-Aug-2015,980
19-Aug-2015,543
20-Aug-2015,750
21-Aug-2015,428
22-Aug-2015,421
23-Aug-2015,412
24-Aug-2015,1048
25-Aug-2015,817
26-Aug-2015,784
27-Aug-2015,496
28-Aug-2015,814
29-Aug-2015,559
30-Aug-2015,533
31-Aug-2015,799
01-Sep-2015,849
02-Sep-2015,782
03-Sep-2015,1177
04-Sep-2015,2483
05-Sep-2015,1328
06-Sep-2015,852
07-Sep-2015,997
08-Sep-2015,1467
09-Sep-2015,1345
10-Sep-2015,1255
11-Sep-2015,1669
12-Sep-2015,1146
13-Sep-2015,990
14-Sep-2015,1253
15-Sep-2015,1529
16-Sep-2015,1979
17-Sep-2015,1173
18-Sep-2015,1040
19-Sep-2015,1474
20-Sep-2015,1274
21-Sep-2015,1525
22-Sep-2015,1241
23-Sep-2015,1762
24-Sep-2015,1605
25-Sep-2015,1267
26-Sep-2015,976
27-Sep-2015,1033
28-Sep-2015,1280
29-Sep-2015,1269
30-Sep-2015,2750
01-Oct-2015,1736
02-Oct-2015,1163
03-Oct-2015,1517
04-Oct-2015,1201
05-Oct-2015,1494
06-Oct-2015,1432
07-Oct-2015,1714
08-Oct-2015,2360
09-Oct-2015,1217
10-Oct-2015,1069
11-Oct-2015,1065
12-Oct-2015,1082
13-Oct-2015,1698
14-Oct-2015,1318
15-Oct-2015,1191
16-Oct-2015,1452
17-Oct-2015,1094
18-Oct-2015,1085
19-Oct-2015,1036
20-Oct-2015,1936
21-Oct-2015,1257
22-Oct-2015,1178
23-Oct-2015,1076
24-Oct-2015,1088
25-Oct-2015,1309
26-Oct-2015,973
27-Oct-2015,1240
28-Oct-2015,1353
29-Oct-2015,1398
30-Oct-2015,1421
31-Oct-2015,1088
01-Nov-2015,1672
02-Nov-2015,1465
03-Nov-2015,1105
04-Nov-2015,1355
05-Nov-2015,1081
06-Nov-2015,1118
07-Nov-2015,1082
08-Nov-2015,1131
09-Nov-2015,1524
10-Nov-2015,1287
11-Nov-2015,2672
12-Nov-2015,1319
13-Nov-2015,1513
14-Nov-2015,1352
15-Nov-2015,1275
16-Nov-2015,1689
17-Nov-2015,2159
18-Nov-2015,1545
19-Nov-2015,1482
20-Nov-2015,1681
21-Nov-2015,1595
22-Nov-2015,1504
23-Nov-2015,2214
24-Nov-2015,1252
25-Nov-2015,1657
26-Nov-2015,1192
27-Nov-2015,1605
28-Nov-2015,1209
29-Nov-2015,1367
30-Nov-2015,1691
01-Dec-2015,1221
02-Dec-2015,1449
03-Dec-2015,1412
04-Dec-2015,1377
05-Dec-2015,1199
06-Dec-2015,1349
07-Dec-2015,1385
08-Dec-2015,1698
09-Dec-2015,1543
10-Dec-2015,2102
11-Dec-2015,1837
12-Dec-2015,1390
13-Dec-2015,1393
14-Dec-2015,2662
15-Dec-2015,1461
16-Dec-2015,1556
17-Dec-2015,2186
18-Dec-2015,1658
19-Dec-2015,1511
20-Dec-2015,1493
21-Dec-2015,2036
22-Dec-2015,2000
23-Dec-2015,1646
24-Dec-2015,1558
25-Dec-2015,1548
26-Dec-2015,1688
27-Dec-2015,1547
28-Dec-2015,1596
29-Dec-2015,2015
30-Dec-2015,1594
31-Dec-2015,1562
01-Jan-2016,1574
02-Jan-2016,1560
03-Jan-2016,1566
04-Jan-2016,1770
05-Jan-2016,1698
06-Jan-2016,2187
07-Jan-2016,2351
08-Jan-2016,1779
09-Jan-2016,1628
10-Jan-2016,1602
11-Jan-2016,1875
12-Jan-2016,1844
13-Jan-2016,2040
14-Jan-2016,2242
15-Jan-2016,2814
16-Jan-2016,1655
17-Jan-2016,1646
18-Jan-2016,1873
19-Jan-2016,1740
20-Jan-2016,2054
21-Jan-2016,3540
22-Jan-2016,2744
23-Jan-2016,1963
24-Jan-2016,1945
25-Jan-2016,2288
26-Jan-2016,2745
27-Jan-2016,2051
28-Jan-2016,1884
29-Jan-2016,1987
30-Jan-2016,1852
31-Jan-2016,1819
01-Feb-2016,2698
02-Feb-2016,1922
03-Feb-2016,2149
04-Feb-2016,2246
05-Feb-2016,2336
06-Feb-2016,2151
07-Feb-2016,2152
08-Feb-2016,2280
09-Feb-2016,3017
10-Feb-2016,2831
11-Feb-2016,2994
12-Feb-2016,3235
13-Feb-2016,2362
14-Feb-2016,2357
15-Feb-2016,3105
16-Feb-2016,2925
17-Feb-2016,2795
18-Feb-2016,2820
19-Feb-2016,2754
20-Feb-2016,2518
21-Feb-2016,3038
22-Feb-2016,2841
23-Feb-2016,2531
24-Feb-2016,3033
25-Feb-2016,2931
26-Feb-2016,2402
